%time(s),x1,x2,x3,x4,x5,u1,u2,y1,y2,y3,y4
3.7999991e-02,6.9973366e+01,8.5842712e+01,1.1295898e+00,8.0120377e-02,1.4089386e-03,1.2000000e+01,0.0000000e+00,3.4337086e+01,2.5037618e+00,1.0000000e+01,6.0962510e-01
3.8999990e-02,7.0520370e+01,8.9534355e+01,1.2154325e+00,8.2330875e-02,1.4890590e-03,1.2000000e+01,0.0000000e+00,3.5813744e+01,2.5728397e+00,1.0000000e+01,6.0962510e-01
3.9999988e-02,7.1034607e+01,9.3257248e+01,1.3049669e+00,8.4541373e-02,1.5713898e-03,1.2000000e+01,0.0000000e+00,3.7302898e+01,2.6419177e+00,1.0000000e+01,6.0962510e-01
4.0999986e-02,7.1517548e+01,9.7009506e+01,1.3982242e+00,8.6751871e-02,1.6559312e-03,1.2000000e+01,0.0000000e+00,3.8803802e+01,2.7109959e+00,1.0000000e+01,6.0962510e-01
4.1999985e-02,7.1970612e+01,1.0078934e+02,1.4952338e+00,8.8962369e-02,1.7426831e-03,1.2000000e+01,0.0000000e+00,4.0315735e+01,2.7800739e+00,1.0000000e+01,6.0962510e-01
4.2999983e-02,7.2395149e+01,1.0459502e+02,1.5960231e+00,9.1172867e-02,1.8316455e-03,1.2000000e+01,0.0000000e+00,4.1838009e+01,2.8491518e+00,1.0000000e+01,6.0962510e-01
4.3999981e-02,7.2792450e+01,1.0842493e+02,1.7006181e+00,9.3383364e-02,1.9228184e-03,1.2000000e+01,0.0000000e+00,4.3369972e+01,2.9182301e+00,1.0000000e+01,6.0962510e-01
4.4999979e-02,7.3163750e+01,1.1227748e+02,1.8090430e+00,9.5593862e-02,2.0162016e-03,1.2000000e+01,0.0000000e+00,4.4910992e+01,2.9873080e+00,1.0000000e+01,6.0962510e-01
4.5999978e-02,7.3510231e+01,1.1615120e+02,1.9213206e+00,9.7804360e-02,2.1117956e-03,1.2000000e+01,0.0000000e+00,4.6460480e+01,3.0563860e+00,1.0000000e+01,6.0962510e-01
4.6999976e-02,7.3833015e+01,1.2004465e+02,2.0374718e+00,1.0001486e-01,2.2096001e-03,1.2000000e+01,0.0000000e+00,4.8017864e+01,3.1254642e+00,1.0000000e+01,6.0962510e-01
4.7999974e-02,7.4133179e+01,1.2395648e+02,2.1575165e+00,1.0222536e-01,2.3096150e-03,1.2000000e+01,0.0000000e+00,4.9582592e+01,3.1945422e+00,1.0000000e+01,6.0962510e-01
4.8999973e-02,7.4411751e+01,1.2788538e+02,2.2814729e+00,1.0443585e-01,2.4118405e-03,1.2000000e+01,0.0000000e+00,5.1154156e+01,3.2636204e+00,1.0000000e+01,6.0962510e-01
4.9999971e-02,7.4669708e+01,1.3183012e+02,2.4093583e+00,1.0664635e-01,2.5162764e-03,1.2000000e+01,0.0000000e+00,5.2732052e+01,3.3326983e+00,1.0000000e+01,6.0962510e-01
5.0999969e-02,7.4907997e+01,1.3578951e+02,2.5411885e+00,1.0885685e-01,2.6229229e-03,1.2000000e+01,0.0000000e+00,5.4315804e+01,3.4017763e+00,1.0000000e+01,6.0962510e-01
5.1999968e-02,7.5127510e+01,1.3976241e+02,2.6769781e+00,1.1106735e-01,2.7317798e-03,1.2000000e+01,0.0000000e+00,5.5904964e+01,3.4708545e+00,1.0000000e+01,6.0962510e-01
5.2999966e-02,7.5329102e+01,1.4374776e+02,2.8167405e+00,1.1327785e-01,2.8428473e-03,1.2000000e+01,0.0000000e+00,5.7499104e+01,3.5399325e+00,1.0000000e+01,6.0962510e-01
5.3999964e-02,7.5513596e+01,1.4774452e+02,2.9604883e+00,1.1548834e-01,2.9561252e-03,1.2000000e+01,0.0000000e+00,5.9097809e+01,3.6090105e+00,1.0000000e+01,6.0962510e-01
5.4999962e-02,7.5681770e+01,1.5175171e+02,3.1082330e+00,1.1769884e-01,3.0716136e-03,1.2000000e+01,0.0000000e+00,6.0700684e+01,3.6780887e+00,1.0000000e+01,6.0962510e-01
5.5999961e-02,7.5834373e+01,1.5576839e+02,3.2599847e+00,1.1990934e-01,3.1893125e-03,1.2000000e+01,0.0000000e+00,6.2307354e+01,3.7471666e+00,1.0000000e+01,6.0962510e-01
5.6999959e-02,7.5972122e+01,1.5979367e+02,3.4157531e+00,1.2211984e-01,3.3092219e-03,1.2000000e+01,0.0000000e+00,6.3917469e+01,3.8162446e+00,1.0000000e+01,6.0962510e-01
5.7999957e-02,7.6095695e+01,1.6382671e+02,3.5755467e+00,1.2433033e-01,3.4313418e-03,1.2000000e+01,0.0000000e+00,6.5530685e+01,3.8853228e+00,1.0000000e+01,6.0962510e-01
5.8999956e-02,7.6205742e+01,1.6786667e+02,3.7393734e+00,1.2654084e-01,3.5556722e-03,1.2000000e+01,0.0000000e+00,6.7146667e+01,3.9544010e+00,1.0000000e+01,6.0962510e-01
5.9999954e-02,7.6302887e+01,1.7191280e+02,3.9072402e+00,1.2875134e-01,3.6822131e-03,1.2000000e+01,0.0000000e+00,6.8765121e+01,4.0234790e+00,1.0000000e+01,6.0962510e-01
6.0999952e-02,7.6387726e+01,1.7596432e+02,4.0791531e+00,1.3096184e-01,3.8109645e-03,1.2000000e+01,0.0000000e+00,7.0385735e+01,4.0925570e+00,1.0000000e+01,6.0962510e-01
6.1999951e-02,7.6460823e+01,1.8002057e+02,4.2551174e+00,1.3317233e-01,3.9419262e-03,1.2000000e+01,0.0000000e+00,7.2008232e+01,4.1616354e+00,1.0000000e+01,6.0962510e-01
6.2999949e-02,7.6522728e+01,1.8408084e+02,4.4351377e+00,1.3538283e-01,4.0750983e-03,1.2000000e+01,0.0000000e+00,7.3632339e+01,4.2307134e+00,1.0000000e+01,6.0962510e-01
6.3999951e-02,7.6573952e+01,1.8814452e+02,4.6192188e+00,1.3759333e-01,4.2104810e-03,1.2000000e+01,0.0000000e+00,7.5257805e+01,4.2997913e+00,1.0000000e+01,6.0962510e-01
6.4999953e-02,7.6614990e+01,1.9221097e+02,4.8073635e+00,1.3980383e-01,4.3480741e-03,1.2000000e+01,0.0000000e+00,7.6884392e+01,4.3688693e+00,1.0000000e+01,6.0962510e-01
6.5999955e-02,7.6646324e+01,1.9627962e+02,4.9995747e+00,1.4201432e-01,4.4878777e-03,1.2000000e+01,0.0000000e+00,7.8511848e+01,4.4379473e+00,1.0000000e+01,6.0962510e-01
6.6999957e-02,7.6668396e+01,2.0034990e+02,5.1958542e+00,1.4422482e-01,4.6298918e-03,1.2000000e+01,0.0000000e+00,8.0139961e+01,4.5070257e+00,1.0000000e+01,6.0962510e-01
6.7999959e-02,7.6681648e+01,2.0442128e+02,5.3962040e+00,1.4643532e-01,4.7741164e-03,1.2000000e+01,0.0000000e+00,8.1768517e+01,4.5761037e+00,1.0000000e+01,6.0962510e-01
6.8999961e-02,7.6686485e+01,2.0849327e+02,5.6006255e+00,1.4864582e-01,4.9205516e-03,1.2000000e+01,0.0000000e+00,8.3397308e+01,4.6451817e+00,1.0000000e+01,6.0962510e-01
6.9999963e-02,7.6683304e+01,2.1256537e+02,5.8091187e+00,1.5085632e-01,5.0691972e-03,1.2000000e+01,0.0000000e+00,8.5026146e+01,4.7142596e+00,1.0000000e+01,6.0962510e-01
7.0999965e-02,7.6672478e+01,2.1663713e+02,6.0216842e+00,1.5306681e-01,5.2200537e-03,1.2000000e+01,0.0000000e+00,8.6654854e+01,4.7833376e+00,1.0000000e+01,6.0962510e-01
7.1999967e-02,7.6654373e+01,2.2070810e+02,6.2383213e+00,1.5527731e-01,5.3731203e-03,1.2000000e+01,0.0000000e+00,8.8283241e+01,4.8524156e+00,1.0000000e+01,6.0962510e-01
7.2999969e-02,7.6629326e+01,2.2477788e+02,6.4590292e+00,1.5748781e-01,5.5283979e-03,1.2000000e+01,0.0000000e+00,8.9911156e+01,4.9214940e+00,1.0000000e+01,6.0962510e-01
7.3999971e-02,7.6597672e+01,2.2884605e+02,6.6838069e+00,1.5969831e-01,5.6858854e-03,1.2000000e+01,0.0000000e+00,9.1538422e+01,4.9905720e+00,1.0000000e+01,6.0962510e-01
7.4999973e-02,7.6559723e+01,2.3291225e+02,6.9126530e+00,1.6190881e-01,5.8455840e-03,1.2000000e+01,0.0000000e+00,9.3164902e+01,5.0596499e+00,1.0000000e+01,6.0962510e-01
7.5999975e-02,7.6515778e+01,2.3697610e+02,7.1455650e+00,1.6411930e-01,6.0074930e-03,1.2000000e+01,0.0000000e+00,9.4790443e+01,5.1287279e+00,1.0000000e+01,6.0962510e-01
7.6999977e-02,7.6466118e+01,2.4103728e+02,7.3825412e+00,1.6632980e-01,6.1716125e-03,1.2000000e+01,0.0000000e+00,9.6414909e+01,5.1978059e+00,1.0000000e+01,6.0962510e-01
7.7999979e-02,7.6411026e+01,2.4509544e+02,7.6235785e+00,1.6854030e-01,6.3379426e-03,1.2000000e+01,0.0000000e+00,9.8038177e+01,5.2668843e+00,1.0000000e+01,6.0962510e-01
7.8999981e-02,7.6350761e+01,2.4915028e+02,7.8686738e+00,1.7075080e-01,6.5064831e-03,1.2000000e+01,0.0000000e+00,9.9660118e+01,5.3359623e+00,1.0000000e+01,6.0962510e-01
7.9999983e-02,7.6285568e+01,2.5320151e+02,8.1178246e+00,1.7296129e-01,6.6772341e-03,1.2000000e+01,0.0000000e+00,1.0128060e+02,5.4050403e+00,1.0000000e+01,6.0962510e-01
8.0999985e-02,7.6215691e+01,2.5724881e+02,8.3710260e+00,1.7517179e-01,6.8501956e-03,1.2000000e+01,0.0000000e+00,1.0289953e+02,5.4741182e+00,1.0000000e+01,6.0962510e-01
8.1999987e-02,7.6141350e+01,2.6129196e+02,8.6282749e+00,1.7738229e-01,7.0253676e-03,1.2000000e+01,0.0000000e+00,1.0451678e+02,5.5431962e+00,1.0000000e+01,6.0962510e-01
8.2999989e-02,7.6062767e+01,2.6533069e+02,8.8895664e+00,1.7959279e-01,7.2027501e-03,1.2000000e+01,0.0000000e+00,1.0613228e+02,5.6122742e+00,1.0000000e+01,6.0962510e-01
8.3999991e-02,7.5980148e+01,2.6936475e+02,9.1548967e+00,1.8180329e-01,7.3823431e-03,1.2000000e+01,0.0000000e+00,1.0774590e+02,5.6813526e+00,1.0000000e+01,6.0962510e-01
8.4999993e-02,7.5893700e+01,2.7339389e+02,9.4242611e+00,1.8401378e-01,7.5641465e-03,1.2000000e+01,0.0000000e+00,1.0935756e+02,5.7504306e+00,1.0000000e+01,6.0962510e-01
8.5999995e-02,7.5803604e+01,2.7741791e+02,9.6976547e+00,1.8622428e-01,7.7481605e-03,1.2000000e+01,0.0000000e+00,1.1096716e+02,5.8195086e+00,1.0000000e+01,6.0962510e-01
8.6999997e-02,7.5710045e+01,2.8143658e+02,9.9750729e+00,1.8843478e-01,7.9343850e-03,1.2000000e+01,0.0000000e+00,1.1257464e+02,5.8885865e+00,1.0000000e+01,6.0962510e-01
8.8000000e-02,7.5613190e+01,2.8544974e+02,1.0256510e+01,1.9064528e-01,8.1228195e-03,1.2000000e+01,0.0000000e+00,1.1417989e+02,5.9576645e+00,1.0000000e+01,6.0962510e-01
8.9000002e-02,7.5513206e+01,2.8945718e+02,1.0541960e+01,1.9285578e-01,8.3134649e-03,1.2000000e+01,0.0000000e+00,1.1578288e+02,6.0267425e+00,1.0000000e+01,6.0962510e-01
9.0000004e-02,7.5410255e+01,2.9345874e+02,1.0831417e+01,1.9506627e-01,8.5063204e-03,1.2000000e+01,0.0000000e+00,1.1738350e+02,6.0958209e+00,1.0000000e+01,6.0962510e-01
9.1000006e-02,7.5304489e+01,2.9745422e+02,1.1124876e+01,1.9727677e-01,8.7013869e-03,1.2000000e+01,0.0000000e+00,1.1898169e+02,6.1648989e+00,1.0000000e+01,6.0962510e-01
9.2000008e-02,7.5196053e+01,3.0144348e+02,1.1422330e+01,1.9948727e-01,8.8986633e-03,1.2000000e+01,0.0000000e+00,1.2057739e+02,6.2339768e+00,1.0000000e+01,6.0962510e-01
9.3000010e-02,7.5085075e+01,3.0542633e+02,1.1723773e+01,2.0169777e-01,9.0981508e-03,1.2000000e+01,0.0000000e+00,1.2217053e+02,6.3030548e+00,1.0000000e+01,6.0962510e-01
9.4000012e-02,7.4971695e+01,3.0940265e+02,1.2029200e+01,2.0390826e-01,9.2998482e-03,1.2000000e+01,0.0000000e+00,1.2376106e+02,6.3721328e+00,1.0000000e+01,6.0962510e-01
